#CurrentState|Input|Output|Movement|NewState
S15|C|C|>|S16
S15|A|A|>|S16
S15|Y|Y|>|S16
S15|F|F|>|S16
S15|#|D|<|S11
S15|D|#|<|S25
S15|~|~|>|S12
S16|0|0|>|S17
S16|X|X|>|S17
S16|K|K|>|S17
S16|B|B|>|S17
S16|C|C|>|S17
S16|A|A|>|S17
S16|Y|Y|>|S17
S16|F|F|>|S17
S16|#|D|<|S11
S16|D|#|<|S25
S16|~|~|>|S12
S17|0|0|>|S18
S17|X|X|>|S18
S17|K|K|>|S18
S17|B|B|>|S18
S17|C|C|>|S18
S17|A|A|>|S18
S17|Y|Y|>|S18
S17|F|F|>|S18
S17|#|D|<|S11
S17|D|#|<|S25
S17|~|~|>|S12
S18|0|0|>|S19
S18|X|X|>|S19
S18|K|K|>|S19
S18|B|B|>|S19
S18|C|C|>|S19
S18|A|A|>|S19
S18|Y|Y|>|S19
S18|F|F|>|S19
S18|#|D|<|S11
S18|D|#|<|S25
S18|~|~|>|S12
S19|0|0|>|S20
S19|X|X|>|S20
S19|K|K|>|S20
S19|B|B|>|S20
S19|C|C|>|S20
S19|A|A|>|S20
S19|Y|Y|>|S20
S19|F|F|>|S20
S19|#|D|<|S11
S19|D|#|<|S25
S19|~|~|>|S12
S20|0|0|>|S21
S20|X|X|>|S21
S20|K|K|>|S21
S20|B|B|>|S21
S20|C|C|>|S21
S20|A|A|>|S21
S20|Y|Y|>|S21
S20|F|F|>|S21
S20|#|D|<|S11
S20|D|#|<|S25
S20|~|~|>|S12
S21|0|0|>|S22
S21|X|X|>|S22
S21|K|K|>|S22
S21|B|B|>|S22
S21|C|C|>|S22
S21|A|A|>|S22
S21|Y|Y|>|S22
S21|F|F|>|S22
S21|#|D|<|S11
S21|D|#|<|S25
S21|~|~|>|S12
S22|0|A|>|S13
S22|X|Y|>|S23
S22|K|F|>|S23
S22|B|B|>|S23
S22|C|C|>|S23
S22|A|A|>|S25
S22|Y|Y|>|S23
S22|F|F|>|S23
S22|#|D|<|S11
S22|D|#|<|S25
S22|~|~|>|S12
S23|0|0|>|S23
S23|X|X|>|S23
S23|K|K|>|S23
S23|B|B|>|S23
S23|C|C|>|S23
S23|A|A|>|S23
S23|Y|Y|>|S23
S23|F|F|>|S23
S23|#|D|<|S11
S23|D|#|<|S25
S23|~|~|>|S12
S24|0|B|<|S24
S24|X|B|<|S24
S24|K|K|>|S24
S24|B|B|<|S24
S24|C|C|<|S24
S24|A|A|<|S24
S24|Y|Y|<|S24
S24|F|F|<|S24
S24|I|I|<|S24
S24|N|N|-|S25
S24|~|~|>|S25
S24|#|#|<|S25
